Generation,Best_F1_Preservation,Best_F2_SHAP,Best_F3_Compactness,Avg_F1,Avg_F2,Avg_F3,Pareto_Front_Size
1,0.44795696437358856,0.7301141388972677,0.640625,0.31256655026227237,0.5203150774635723,0.5111979166666667,25
2,0.44795696437358856,0.7301141388972677,0.671875,0.327489945354561,0.5476732610646593,0.5046875,31
3,0.44795696437358856,0.7477239209909735,0.671875,0.34227379181732737,0.5353554042494127,0.5283854166666667,41
4,0.44795696437358856,0.7648426348750368,0.6875,0.3531559258699417,0.5314405085386696,0.5361979166666667,41
5,0.47401292622089386,0.8009962453522231,0.6875,0.352396608920147,0.5312341378460629,0.5494791666666666,42
6,0.47900234162807465,0.8009962453522231,0.703125,0.36435865801759065,0.5343902501119192,0.5627604166666667,53
7,0.5069805681705475,0.8119273625726311,0.703125,0.37869110150883595,0.55744005346009,0.5546875,60
8,0.540095329284668,0.8384715547195816,0.71875,0.38818833554784454,0.5894640514119037,0.5455729166666666,60
9,0.615499883890152,0.8384715547195816,0.71875,0.392392427722613,0.5790010774642376,0.5606770833333333,60
10,0.615499883890152,0.8384715547195816,0.734375,0.4192242771076659,0.6100092078148103,0.54140625,60
11,0.615499883890152,0.8384715547195816,0.75,0.43795367594187457,0.6233239753018409,0.5322916666666667,60
12,0.6173975169658661,0.8760060567366226,0.75,0.43220082369322577,0.5932953148945007,0.5625,60
13,0.6173975169658661,0.8760060567366226,0.75,0.44926268079628545,0.6105553566873805,0.56015625,60
14,0.6173975169658661,0.8760060567366226,0.75,0.4540849509028097,0.6058205884614293,0.5716145833333334,60
15,0.6607692837715149,0.8760060567366226,0.75,0.4645506002629797,0.5970356107409024,0.5841145833333333,60
16,0.7396191954612732,0.8760060567366226,0.78125,0.5068926156808933,0.5912107800876009,0.5890625,60
17,0.7396191954612732,0.8760060567366226,0.78125,0.5030715633183718,0.5894922300343214,0.5966145833333333,60
18,0.7807436585426331,0.8760060567366226,0.78125,0.5213699133445819,0.5994874916076174,0.59140625,60
19,0.7807436585426331,0.8781828368011868,0.796875,0.5391379412263632,0.6035211827248612,0.5877604166666667,60
20,0.801601767539978,0.8884250364075339,0.8125,0.5308310055484374,0.5910395707541156,0.6052083333333333,60
