Solution_ID,K_Selected_ROIs,F1_Preservation,F2_Attribution_Retained,F3_Compactness,F4_Anatomical_Coherence,Distance_To_Utopia,Is_Knee_Point
3,1,0.997926,0.000227,0.952381,0.933333,1.003126,False
6,2,0.999214,0.215931,0.904762,0.722722,0.83709,False
27,2,0.999228,0.23783,0.904762,0.713743,0.819705,False
4,3,0.998942,0.371689,0.857143,0.674357,0.72196,False
26,3,0.999162,0.231559,0.857143,0.761716,0.817123,False
2,3,0.999847,0.445857,0.857143,0.64986,0.670881,False
9,4,0.999092,0.364685,0.809524,0.706217,0.725407,False
20,4,0.999834,0.449575,0.809524,0.691423,0.659142,False
16,5,0.999683,0.365548,0.761905,0.724684,0.731449,False
15,5,0.999748,0.594867,0.761905,0.665538,0.576791,False
14,5,0.999742,0.599029,0.761905,0.663189,0.575247,False
18,6,0.999792,0.61228,0.714286,0.682509,0.576854,False
1,6,0.999888,0.465158,0.714286,0.725567,0.665584,False
5,6,0.999197,0.23586,0.714286,0.787209,0.843103,False
23,7,0.999799,0.615447,0.666667,0.696011,0.592791,False
36,7,0.999221,0.239623,0.666667,0.785949,0.857382,False
28,8,0.99931,0.227622,0.619048,0.783222,0.888079,False
25,8,0.999739,0.762341,0.619048,0.674234,0.554734,True
22,8,0.999083,0.387362,0.619048,0.753545,0.762359,False
12,8,0.999732,0.744232,0.619048,0.680843,0.55893,False
21,9,0.999793,0.623015,0.571429,0.719347,0.636048,False
30,9,0.999401,0.262004,0.571429,0.777686,0.881894,False
34,9,0.998977,0.387317,0.571429,0.759365,0.785468,False
13,10,0.999431,0.269605,0.52381,0.771668,0.901316,False
19,10,0.999755,0.761676,0.52381,0.700476,0.610959,False
32,11,0.999411,0.268474,0.47619,0.774546,0.927543,False
24,11,0.99976,0.767596,0.47619,0.707351,0.643453,False
29,12,0.999769,0.63697,0.428571,0.734013,0.727372,False
37,13,0.999382,0.272779,0.380952,0.773455,0.981526,False
35,14,0.999341,0.28325,0.333333,0.766498,1.006329,False
33,14,0.999772,0.777378,0.333333,0.723397,0.755324,False
8,15,0.999381,0.290899,0.285714,0.761355,1.034398,False
11,15,0.999829,0.49591,0.285714,0.758499,0.906992,False
31,15,0.999741,0.77565,0.285714,0.729424,0.796083,False
17,17,0.999253,0.425375,0.190476,0.761272,1.021036,False
10,17,0.999785,0.642042,0.190476,0.750304,0.91968,False
7,18,0.999791,0.653022,0.142857,0.747822,0.958479,False
0,19,0.999779,0.788428,0.095238,0.73956,0.96498,False
