Solution_ID,K_Selected_ROIs,F1_Preservation,F2_Attribution_Retained,F3_Compactness,F4_Anatomical_Coherence,Distance_To_Utopia,Is_Knee_Point
0,2,0.999206,0.224478,0.904762,0.721809,0.829395,False
6,2,0.999023,0.371937,0.904762,0.594613,0.753574,False
22,2,0.999139,0.235424,0.904762,0.721958,0.819119,False
13,3,0.999904,0.457855,0.857143,0.647891,0.66205,False
9,3,0.999687,0.368565,0.857143,0.676452,0.723741,False
33,3,0.999204,0.225254,0.857143,0.759605,0.823668,False
29,4,0.999788,0.590997,0.809524,0.632635,0.581826,False
2,4,0.999953,0.472439,0.809524,0.683695,0.643933,False
8,4,0.999854,0.596414,0.809524,0.630787,0.579207,False
11,5,0.999862,0.601316,0.761905,0.665507,0.572297,False
32,5,0.999094,0.374636,0.761905,0.732989,0.720461,False
25,6,0.999247,0.227003,0.714286,0.787179,0.851147,False
7,6,0.999745,0.728163,0.714286,0.647165,0.52917,False
35,6,0.999791,0.742395,0.714286,0.640989,0.526195,True
30,7,0.999832,0.613129,0.666667,0.700261,0.592135,False
4,7,0.999238,0.228834,0.666667,0.787983,0.866464,False
24,7,0.999655,0.515546,0.666667,0.708838,0.656187,False
37,8,0.999077,0.386562,0.619048,0.754456,0.762708,False
23,8,0.999802,0.750509,0.619048,0.679153,0.557058,False
31,8,0.999297,0.262506,0.619048,0.776201,0.859714,False
15,9,0.999487,0.260772,0.571429,0.780052,0.882332,False
5,9,0.99899,0.391383,0.571429,0.75633,0.783239,False
20,9,0.999337,0.251728,0.571429,0.782464,0.889329,False
34,9,0.999879,0.623999,0.571429,0.720434,0.634986,False
26,10,0.999385,0.256444,0.52381,0.780341,0.909881,False
21,10,0.999653,0.5267,0.52381,0.731301,0.723167,False
36,11,0.999421,0.251856,0.47619,0.783563,0.938585,False
10,11,0.999458,0.274218,0.47619,0.770346,0.924055,False
28,11,0.999781,0.761137,0.47619,0.708776,0.64517,False
18,12,0.999689,0.382289,0.428571,0.768902,0.872642,False
27,12,0.999886,0.629866,0.428571,0.737868,0.72955,False
12,12,0.999653,0.388415,0.428571,0.766067,0.869075,False
16,13,0.999806,0.772472,0.380952,0.717722,0.717405,False
19,13,0.999196,0.397291,0.380952,0.764768,0.89544,False
14,14,0.999897,0.631785,0.333333,0.7458,0.802898,False
1,15,0.9998,0.77482,0.285714,0.727613,0.796935,False
17,15,0.999654,0.399568,0.285714,0.76473,0.962328,False
3,17,0.99988,0.641205,0.190476,0.750757,0.919883,False
